Time,Temp,RH,Pres,CO2,Gas,PM1,PM25,PM10
2024_05_16 - 07:09:22 PM, 0.00, 0.00, 872.04, 0.00, 27.12, 0, 8, 40
2024_05_16 - 07:09:25 PM, 0.00, 0.00, 872.04, 0.00, 27.12, 0, 8, 40
2024_05_16 - 07:09:28 PM, 0.00, 0.00, 872.04, 0.00, 27.12, 0, 8, 40
2024_05_16 - 07:09:29 PM, 0.00, 0.00, 872.03, 0.00, 27.24, 0, 8, 40
2024_05_16 - 07:09:31 PM, 0.00, 0.00, 872.03, 0.00, 27.24, 0, 8, 40
2024_05_16 - 07:09:40 PM, 0.00, 0.00, 872.03, 0.00, 27.24, 0, 8, 40
2024_05_16 - 07:09:43 PM, 0.00, 0.00, 872.03, 0.00, 27.24, 0, 8, 40
2024_05_16 - 07:09:46 PM, 0.00, 0.00, 872.03, 0.00, 27.24, 0, 8, 40
2024_05_16 - 07:09:47 PM, 0.00, 0.00, 872.02, 0.00, 27.34, 0, 8, 40
2024_05_16 - 07:09:49 PM, 0.00, 0.00, 872.02, 0.00, 27.34, 0, 8, 40
2024_05_16 - 07:09:58 PM, 0.00, 0.00, 872.02, 0.00, 27.34, 0, 8, 40
2024_05_16 - 07:10:01 PM, 0.00, 0.00, 872.02, 0.00, 27.34, 0, 8, 40
2024_05_16 - 07:10:04 PM, 0.00, 0.00, 872.02, 0.00, 27.34, 0, 8, 40
2024_05_16 - 07:10:05 PM, 0.00, 0.00, 872.03, 0.00, 27.40, 0, 8, 40
2024_05_16 - 07:10:07 PM, 0.00, 0.00, 872.03, 0.00, 27.40, 0, 8, 40
2024_05_16 - 07:10:15 PM, 0.00, 0.00, 872.03, 0.00, 27.40, 0, 8, 40
2024_05_16 - 07:10:19 PM, 0.00, 0.00, 872.03, 0.00, 27.40, 0, 8, 40
2024_05_16 - 07:10:22 PM, 0.00, 0.00, 872.03, 0.00, 27.40, 0, 8, 40
2024_05_16 - 07:10:23 PM, 0.00, 0.00, 872.00, 0.00, 27.52, 0, 8, 40
2024_05_16 - 07:10:25 PM, 0.00, 0.00, 872.00, 0.00, 27.52, 0, 8, 40
2024_05_16 - 07:10:33 PM, 0.00, 0.00, 872.00, 0.00, 27.52, 0, 8, 40
2024_05_16 - 07:10:36 PM, 0.00, 0.00, 872.00, 0.00, 27.52, 0, 8, 40
2024_05_16 - 07:10:39 PM, 0.00, 0.00, 872.00, 0.00, 27.52, 0, 8, 40
2024_05_16 - 07:10:40 PM, 0.00, 0.00, 872.06, 0.00, 27.64, 0, 8, 40
2024_05_16 - 07:10:43 PM, 0.00, 0.00, 872.06, 0.00, 27.64, 0, 8, 40
2024_05_16 - 07:10:51 PM, 0.00, 0.00, 872.06, 0.00, 27.64, 0, 8, 40
2024_05_16 - 07:10:54 PM, 0.00, 0.00, 872.06, 0.00, 27.64, 0, 8, 40
2024_05_16 - 07:10:57 PM, 0.00, 0.00, 872.06, 0.00, 27.64, 0, 8, 40
2024_05_16 - 07:10:58 PM, 0.00, 0.00, 872.04, 0.00, 27.73, 0, 8, 40
2024_05_16 - 07:11:00 PM, 0.00, 0.00, 872.04, 0.00, 27.73, 0, 8, 40
2024_05_16 - 07:11:09 PM, 0.00, 0.00, 872.04, 0.00, 27.73, 0, 8, 40
2024_05_16 - 07:11:12 PM, 0.00, 0.00, 872.04, 0.00, 27.73, 0, 8, 40
2024_05_16 - 07:11:15 PM, 0.00, 0.00, 872.04, 0.00, 27.73, 0, 8, 40
2024_05_16 - 07:11:16 PM, 0.00, 0.00, 872.03, 0.00, 27.75, 0, 8, 40
2024_05_16 - 07:11:18 PM, 0.00, 0.00, 872.03, 0.00, 27.75, 0, 8, 40
2024_05_16 - 07:11:27 PM, 0.00, 0.00, 872.03, 0.00, 27.75, 0, 8, 40
2024_05_16 - 07:11:30 PM, 0.00, 0.00, 872.03, 0.00, 27.75, 0, 8, 40
2024_05_16 - 07:11:33 PM, 0.00, 0.00, 872.03, 0.00, 27.75, 0, 8, 40
