Time,Temp,RH,Pres,CO2,VOC,PM1,PM25,PM10
2024_07_10 - 02:41:40 AM,27.03,46.83,885.62,628.58,7.97,12.00,20.00,44.00

2024_07_10 - 02:42:40 AM,27.03,46.83,885.61,628.58,7.85,6.00,18.00,28.00

2024_07_10 - 02:43:40 AM,27.01,46.83,885.60,626.47,7.83,4.00,18.00,30.00

2024_07_10 - 02:44:41 AM,26.98,47.01,885.61,627.18,7.73,10.00,24.00,34.00

2024_07_10 - 02:45:41 AM,26.98,46.95,885.61,630.38,7.71,10.00,22.00,32.00

2024_07_10 - 02:46:41 AM,26.95,47.18,885.59,632.98,7.74,12.00,18.00,30.00

2024_07_10 - 02:47:41 AM,26.98,46.93,885.58,633.49,7.67,8.00,12.00,24.00

2024_07_10 - 02:48:42 AM,26.88,47.21,885.58,636.06,7.76,10.00,22.00,32.00

2024_07_10 - 02:49:42 AM,26.99,46.95,885.58,639.12,7.63,10.00,24.00,34.00

2024_07_10 - 02:50:42 AM,26.92,47.21,885.57,637.81,7.66,8.00,20.00,32.00

